lap,duration_s,distance_m,avg_speed_kph,avg_current_mA,max_current_mA,avg_power_w,total_energy_wh,efficiency_wh_per_km,elev_gain_m,elev_loss_m
1,508.163,3808.9514098996806,26.983910823178487,4077.3253588516745,20923.0,92.62861366267943,13.109536842435277,3.4417705640357736,13.099999999999966,13.19999999999996
2,500.452,3807.1832571274945,27.38696163799721,4144.563106796117,23921.0,94.0985002682039,13.043491627986667,3.426021482829259,13.19999999999996,13.19999999999996
3,495.365,3758.88631701001,27.317212038064934,2699.6683046683047,23358.0,61.27629023832923,8.451751636725835,2.248472266500665,12.600000000000051,12.600000000000051
