lap,sector,duration_s,distance_m,avg_speed_kph,avg_power_w,avg_current_mA,max_current_mA,energy_wh,efficiency_wh_per_km,avg_grade_pct,peak_speed_kph
1,1,39.28,308.16126109811586,28.242885436690862,123.86691607575756,5452.712121212121,20584.0,1.3737469324119445,4.457883276816405,0.11168769496615626,58.93905109772953
1,2,34.851,320.3123941677588,33.087274942008314,160.28930808771932,7052.3859649122805,11093.0,1.5514164068574998,4.843447943650188,0.24912054118783244,65.90251683162481
1,3,51.271,320.7332346309347,22.520326201388016,8.589283178571428,377.8095238095238,5319.0,0.12184929424861113,0.3799085379749379,-0.026620375614090596,90.26789090509651
1,4,42.922999999999995,315.72123719590485,26.479893155307355,14.99688738028169,660.056338028169,20175.0,0.18519091763666667,0.5865646520375055,-0.06031111994180289,78.92904245240123
1,5,47.035000000000004,316.8988534741107,24.25504140548099,203.06907772727274,8934.42857142857,19227.0,2.645170385517222,8.347049402415466,-0.010301361881194328,59.667446558363764
1,6,31.493999999999993,315.2964469217928,36.04074455192908,1.392911137254902,61.254901960784316,65.0,0.012178833878055555,0.03862661313489662,-0.07977007719834942,62.12810633026745
1,7,41.43199999999999,323.31450411650934,28.092590626072454,131.36636515942027,5782.463768115942,18339.0,1.514789175868889,4.685187817379887,-0.10095699163849098,102.7436768225033
1,8,51.61699999999999,311.8705413386386,21.75124375339712,28.06221677647059,1234.9058823529413,8322.0,0.40119924518999994,1.2864287966023875,-0.1053614673628416,73.46136646683902
1,9,34.484,322.55720638820407,33.67376009156521,241.37321503571425,10630.30357142857,20923.0,2.310158575311111,7.162011976662487,-0.08503520249435816,60.70949365649146
1,10,40.56699999999999,313.31556669252944,27.804275398553163,108.65638949253731,4782.985074626866,8346.0,1.2310981462905555,3.929259434143235,-0.08970646864540888,58.29321369593917
1,11,44.157999999999994,315.3090274855533,25.70570449177934,1.6868396575342468,74.26027397260275,2111.0,0.020794200694444445,0.0659486373107322,0.03836333159499166,62.06322464310874
1,12,47.202999999999996,320.48022250769907,24.44185329381007,133.2715733896104,5869.337662337663,19627.0,1.7418281077997222,5.435056472971206,0.25909367389284704,97.86252421347676
2,1,38.885999999999996,310.1364558686329,28.711907656407924,166.54631298461538,7333.246153846154,19179.0,1.8073774199299997,5.827684510251726,0.13523615116638346,60.085531203518926
2,2,36.22999999999999,320.3285037468977,31.8294952660456,111.60705044999999,4911.583333333333,7256.0,1.1220846259091666,3.5029184502287167,0.11219638185654096,62.86556382006556
2,3,51.29,315.4243519414368,22.139357905813462,0.2176535714285714,9.571428571428571,10.0,0.0030978980333333335,0.009821366087512813,0.041082156232555365,81.58146541181183
2,4,41.66,319.44824916568894,27.604745487193476,27.72131692647059,1221.0294117647059,20965.0,0.32135868646722227,1.005980428149232,-0.03112266833805364,55.498350155841635
2,5,45.16499999999999,318.2766442840032,25.369111467340016,206.11728309333336,9073.613333333333,18886.0,2.581697067374167,8.111487643656561,-0.01224791145463439,106.91520628252941
2,6,31.724999999999994,314.0085286828506,35.63217346755752,0.3230053076923077,14.211538461538462,63.0,0.0028660255733333334,0.009127222070544543,-0.07956128720819097,63.17764244787948
2,7,39.959,319.58294488327635,28.791976815730994,111.05697064615386,4891.507692307692,17776.0,1.2402842979922222,3.880946458032109,-0.09727735270938521,95.16051711841381
2,8,54.358999999999995,317.1775694117401,21.005523462209833,73.72624636666667,3246.0444444444443,10381.0,1.1197677388005556,3.530412761776805,-0.14041779781164038,50.87176725351
2,9,32.816,317.54751824228117,34.83578332740773,195.21703950000003,8601.351851851852,19225.0,1.7811998556024997,5.609238785621643,-0.040653927445892094,64.78883620486894
2,10,39.256,317.1060921190415,29.080444559520817,74.5640925,3283.53125,10800.0,0.8079754240730556,2.5479656309149115,-0.09746641547652354,93.05786707313399
2,11,42.572,316.22043632081665,26.74042964283895,0.3659639285714286,16.114285714285714,65.0,0.004343950958611111,0.01373709747906369,0.02239732527976204,61.60788953456924
