LOG t=113877 ms I=6 mA V=5342 mV Ax=-49 Ay=10 Az=1018 Mag=1019 raw=20448
Logging STOPPED for dump
timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
44742,8,5343,-43,2,1017,1018
45346,0,5343,-47,4,1019,1020
45960,3,5343,-51,8,1018,1019
46564,6,5343,-40,0,1012,1013
47167,5,5343,-53,14,1020,1022
47772,4,5343,-51,12,1017,1019
48378,0,5343,-43,13,1017,1018
48985,0,5343,-48,8,1016,1018
49589,-4,5343,-56,14,1018,1020
50196,4,5343,-44,11,1018,1019
50808,3,5343,-54,7,1016,1018
51416,0,5343,-51,11,1018,1020
52023,-3,5343,-50,10,1019,1020
52637,0,5343,-48,7,1019,1020
53257,0,5343,-53,18,1015,1016
53869,-1,5343,-44,6,1017,1018
54533,-3,5343,-52,12,1017,1018
55136,2,5343,-58,17,1016,1018
55752,-4,5343,-45,0,1018,1019
56356,0,5343,-43,4,1017,1018
56966,3,5343,-48,6,1020,1021
57578,2,5343,-49,8,1018,1019
58187,3,5343,-51,6,1019,1020
58793,6,5343,-48,10,1019,1020
59399,0,5343,-51,13,1019,1020
60007,0,5343,-48,6,1017,1018
60618,-2,5343,-51,9,1018,1020
61229,-6,5343,-41,0,1020,1020
61838,-2,5343,-47,2,1017,1019
62451,-12,5343,-49,8,1018,1019
63070,0,5343,-71,13,1017,1020
63685,-4,5343,-45,8,1019,1021
64355,-1,5343,-49,10,1015,1016
64960,1,5343,-42,4,1018,1019
65568,4,5343,-59,4,1018,1020
66172,-3,5343,-47,8,1017,1018
66778,-7,5343,-50,10,1017,1018
67389,-9,5343,-49,7,1019,1020
68000,0,5343,-47,1,1018,1019
68608,-4,5343,-49,10,1017,1018
69215,0,5343,-50,9,1019,1020
69825,-9,5343,-49,6,1017,1019
70439,-2,5343,-50,7,1018,1020
71053,-10,5343,-49,8,1018,1019
71664,-7,5343,-49,6,1018,1019
72278,1,5343,-51,9,1018,1020
72901,-14,5343,-52,8,1018,1020
73514,0,5343,-55,12,1017,1019
74183,-1,5343,-51,6,1019,1020
74786,-6,5343,-49,7,1020,1021
75397,9,5343,-46,5,1018,1019
76000,-3,5343,-51,0,1017,1019
76607,3,5343,-50,7,1017,1018
77210,-6,5343,-50,6,1019,1020
77823,-4,5343,-51,6,1019,1020
78432,0,5343,-51,6,1017,1018
79042,-2,5343,-49,15,1016,1018
79651,-1,5343,-47,0,1017,1018
80265,0,5343,-51,6,1018,1020
80878,3,5343,-50,9,1019,1020
81493,5,5343,-41,4,1018,1018
82102,5,5343,-49,9,1018,1019
82724,2,5343,-53,11,1019,1020
83346,4,5343,-44,9,1021,1022
84022,4,5343,-53,12,1019,1020
84627,0,5343,-48,11,1018,1020
85276,0,5343,-55,5,1017,1019
85864,-4,5343,-56,-4,1015,1017
86452,7,5343,-46,-2,1017,1018
87039,0,5342,-33,0,1017,1017
87630,9,5343,-48,4,1017,1019
88219,-4,5343,-44,8,1017,1018
88806,5,5343,-53,11,1018,1019
89403,0,5343,-51,8,1019,1021
89999,-4,5343,-51,9,1017,1019
90588,-6,5342,-49,6,1018,1019
91179,-1,5343,-50,5,1017,1018
91772,2,5343,-51,6,1017,1019
92368,0,5343,-51,1,1019,1020
92963,0,5343,-49,4,1018,1019
93617,2,5343,-54,12,1017,1019
94203,2,5343,-47,6,1016,1017
94797,6,5343,-59,35,1026,1028
95382,1,5343,-41,7,1011,1011
95970,-3,5343,-49,8,1018,1020
96559,-6,5342,-49,4,1018,1019
97153,-7,5343,-46,1,1021,1022
97740,0,5343,-53,6,1019,1021
98329,-5,5343,-50,3,1019,1021
98919,0,5343,-180,40,1069,1084
99516,-6,5343,-53,2,1021,1022
100108,-3,5343,-43,11,1011,1012
100700,-1,5343,-52,3,1016,1017
101294,-2,5343,-49,6,1017,1019
101894,-4,5342,-50,6,1017,1019
102487,-5,5343,-54,8,1019,1021
103137,0,5343,-50,4,1018,1019
103726,1,5343,-49,8,1019,1020
104320,3,5343,-49,12,1016,1017
104909,-2,5342,-57,10,1017,1019
105497,-2,5342,-50,2,1018,1019
106089,-4,5342,-49,-2,1018,1019
106685,-5,5342,-47,7,1020,1021
107277,-2,5343,-50,5,1017,1018
107870,-2,5343,-46,0,1018,1020
108463,-7,5343,-51,6,1018,1019
109063,-1,5343,-49,9,1017,1019
109655,-3,5342,-52,6,1018,1019
110253,2,5343,-50,8,1018,1019
110847,-5,5342,-54,10,1020,1021
111450,-12,5342,-48,2,1018,1019
112045,-8,5343,-51,3,1017,1018
112698,-9,5342,-51,7,1019,1021
113283,-6,5342,-52,7,1019,1021
113877,6,5342,-49,10,1018,1019
Dump complete. 277 records.
